"fishery_unit_id","country","region","trip","distance","commitment","labour","utilization","economy","disposal","ownership","size","motorization","mechanization","gear","refrigeration","total_char"
"Africa_fishery_unit126","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit127","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit128","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit129","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit130","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit131","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit132","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit133","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit134","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit135","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit136","Country21","Africa",0,0,2,0,1,1,2,0,1,0,0,1,0,"8"
"Africa_fishery_unit137","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit138","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit139","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit140","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit141","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit142","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit143","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit144","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit145","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit146","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit147","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit148","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit149","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit150","Country21","Africa",0,0,2,0,1,1,2,0,1,0,0,1,0,"8"
"Africa_fishery_unit151","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit152","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit153","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit154","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit155","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit156","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit157","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit158","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit159","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit160","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit161","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit162","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit163","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit164","Country21","Africa",0,0,2,0,1,1,2,0,1,0,0,1,0,"8"
"Africa_fishery_unit165","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit166","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit167","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit168","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit169","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit170","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit171","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit172","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit173","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit174","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit175","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit176","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit177","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
